Link incidecoder,brand,short_product_name,date_upload,incide_enDescription,incide_ingredients,incide_imageKey,process
https://incidecoder.com/products/laikou-camomile-facial-exfoliator,Laikou,Camomile Facial Exfoliator,09/14/2020,"
    
    Facial Exfolitor with natural & organic formula.
    ","

Water,
                            Glycerol,
                            Behenyl Trimethyl Ammonium Chloride,
                            Carbomer,
                            Triethanolamine,
                            Phenoxyethanol,
                            Fragrance,
                            Methylparaben,
                            Propylparaben,
                            
        [more]Chrysanthellum Indicum Extract,
                            Cladosiphon Okamuranus Extract[less]

",https://incidecoder-content.storage.googleapis.com/25aa351f-ce11-479f-b5d8-bb8808e6a85d/ingredients/laikou-camomile-facial-exfoliator/laikou-camomile-facial-exfoliator_original.jpeg,Success
https://incidecoder.com/products/laikou-matcha-mud-mask,Laikou,Matcha Mud Mask,03/25/2021,"
    
    Cleaning deeply,hydrating,remove acne
    ","

Aqua,
                            Mineral Oil,
                            Sea Silt,
                            Salt Mine Mud,
                            Cetearyl Alcohol,
                            Ethylhexyl Palmitate,
                            Glyceryl Stearate,
                            Ozokerite,
                            Beeswax,
                            
        [more]Acrylates Copolymer,
                            Iron Oxides,
                            Triethanolamine,
                            Sodium Lauryl Sulfate,
                            Butylene Glycol,
                            Camellia Sinensis Leaf Extract,
                            Methylparaben,
                            Propylparaben,
                            Diazolidinyl Urea,
                            Parfum[less]

",https://incidecoder-content.storage.googleapis.com/0e522736-650e-4f05-b6b4-03ba64bcb9c0/products/laikou-matcha-mud-mask/laikou-matcha-mud-mask_front_photo_original.jpeg,Success
https://incidecoder.com/products/laikou-cutin-repair-serum,Laikou,Cutin Repair Serum,04/23/2021,"
    
    An anti-allergic serum that shrinks pores and soothes skin.
    ","

Aqua,
                            Butylene Glycol,
                            Glycerin,
                            Polyglycerin-10,
                            Carboxymethyl Chitosan,
                            Sodium Hyaluronate,
                            Sodium Polyglutamate,
                            Ceramide 2,
                            Ceramide 3,
                            
        [more]Lactococcus Bean Seed Extract Ferment Filtrate,
                            Lactococcus/​Milk Ferment Lysate,
                            Bifida Ferment Lysate,
                            Rice Ferment Filtrate (Sake),
                            Daemonorops Draco Extract,
                            Hamamelis Virginiana Extract,
                            Echinacea Purpurea Extract,
                            Haematococcus Pluvialis Extract,
                            4-T-Butylcyclohexanol,
                            Tripeptide-1,
                            Oligopeptide-5,
                            Caprylic/​Capric Glycerides Polyglycerin-10 Esters,
                            Trehalose,
                            Allantoin,
                            Ammonium Glycyrrhizate,
                            1,2-Hexanediol,
                            Pentylene Glycol,
                            Hydrogenated Lecithin,
                            Hydroxyacetophenone,
                            Caprylhydroxamic Acid,
                            Disodium EDTA[less]

",https://incidecoder-content.storage.googleapis.com/fce53c31-3d4a-45d9-ab99-f33ecb4b2587/products/laikou-cutin-repair-serum/laikou-cutin-repair-serum_front_photo_original.jpeg,Success
https://incidecoder.com/products/laikou-sakura-serum,Laikou,Sakura Serum,04/23/2021,"
    
    A serum that shrinks pores, removes acne and rejuvenates the skin.
    ","

Aqua,
                            Butylene Glycol,
                            Prunus Lannesiana Flower Extract,
                            Prunus Mume Fruit Extract,
                            Citric Acid,
                            Potassium Hydroxide,
                            Ascorbic Acid,
                            Malic Acid,
                            Sodium Hyaluronate,
                            
        [more]Tremella Fuciformis Polysaccharide,
                            Acrylates/​C10-30 Alkyl Acrylate Crosspolymer,
                            Triethanolamine,
                            Methylparaben,
                            Phenoxyethanol,
                            Ethylhexylglycerin,
                            Imidazolidinyl Urea,
                            Parfum,
                            PEG-40 Hydrogenated Castor Oil,
                            Ci 16255[less]

",https://incidecoder-content.storage.googleapis.com/6a72dc6f-46e9-40ec-850e-bc1152bc8c60/products/laikou-sakura-serum/laikou-sakura-serum_front_photo_original.jpeg,Success
https://incidecoder.com/products/laikou-switzerland-niacinamide-serum,Laikou,Switzerland Niacinamide Serum,05/27/2021,"
    
    Whitening serum for glowy skin.
    ","

Aqua,
                            Glycerin,
                            Propylene Glycol,
                            Niacinamide,
                            Carbomer,
                            Xanthan Gum,
                            Dipropylene Glycol,
                            Ginseng Radix Et Rhizoma Rubra Extract,
                            Triethanolamine,
                            
        [more]Methylparaben,
                            Diazolidinyl Urea[less]

",https://incidecoder-content.storage.googleapis.com/8da855f3-5e55-4b1a-9ac7-3328e42de60b/products/laikou-switzerland-niacinamide-serum/laikou-switzerland-niacinamide-serum_front_photo_original.jpeg,Success
https://incidecoder.com/products/laikou-korea-hyaluronic-acid-serum,Laikou,Korea Hyaluronic Acid Serum,05/27/2021,"
    
    Repairing and calming  serum to reduce the pores.
    ","

Aqua,
                            Butylene Glycol,
                            Glycerin,
                            Sodium Hyaluronate,
                            Tremella Fuciformis Polysaccharide,
                            Acrylates/​C10-30 Alkyl Acrylate Crosspolymer,
                            Triethanolamine,
                            Methylparaben,
                            Phenoxyethanol,
                            
        [more]Ethylhexylglycerin,
                            Imidazolidinyl Urea[less]

",https://incidecoder-content.storage.googleapis.com/88f8d0fd-dbc7-4bb7-a22f-aae32239650d/products/laikou-korea-hyaluronic-acid-serum/laikou-korea-hyaluronic-acid-serum_front_photo_original.jpeg,Success
https://incidecoder.com/products/laikou-mung-bean-mud-mask,Laikou,Mung Bean Mud Mask,07/01/2021,"
    
    Mud mask made by mung bean that moisturize skin.
    ","

Water,
                            Sea Salt Extract,
                            Mineral Oil,
                            Salt Mine Mud,
                            Cetearyl Alcohol,
                            Ethylhexyl Palmitate,
                            Glyceryl Stearate,
                            Ozokerite,
                            Beeswax,
                            
        [more]Acrylates Copolymer,
                            Iron Oxides,
                            Triethanolamine,
                            Sodium Lauryl Sulfate,
                            Phaseolus Radiatus Seed Extract,
                            Butylene Glycol,
                            Phenoxyethanol,
                            Ethylhexylglycerin,
                            Methylparaben,
                            Propylparaben,
                            Diazolidinyl Urea,
                            Parfum[less]

",https://incidecoder-content.storage.googleapis.com/55bbbff8-d861-44de-a9ac-091becc5c0a6/products/laikou-mung-bean-mud-mask/laikou-mung-bean-mud-mask_front_photo_original.jpeg,Success
https://incidecoder.com/products/laikou-whitening-essence-ampoule,Laikou,Whitening Essence Ampoule,07/19/2021,"
    
    Whitening serum for bright skin.
    ","

Aqua,
                            Butylene Glycol,
                            Dipropylene Glycol,
                            Niacinamide,
                            Tranexamic Acid,
                            Polyglycerin-10,
                            1-Methylhydantoin-2-Imide,
                            1,2-Hexanediol,
                            Carboxymethyl Chitosan,
                            
        [more]Sodium Hyaluronate,
                            Sodium Polyglutamate,
                            Xanthan Gum,
                            Trehalose,
                            Allantoin,
                            Ammonium Glycyrrhizate,
                            Bis-PEG-15 Methyl Ether Dimethicone,
                            Hydroxyacetophenone,
                            Caprylhydroxamic Acid,
                            Disodium EDTA[less]

",https://incidecoder-content.storage.googleapis.com/ef92b082-0e27-41d9-9238-fd03903a8b6f/products/laikou-whitening-essence-ampoule/laikou-whitening-essence-ampoule_front_photo_original.jpeg,Success
https://incidecoder.com/products/laikou-california-vitamin-c-serum,Laikou,California Vitamin C Serum,07/22/2021,"
    
    Whitening vitamin c serum
    ","

Aqua,
                            Butylene Glycol,
                            Sodium Ascorbyl Phosphate,
                            Ascorbic Acid,
                            Sodium Hyaluronate,
                            Tremella Fuciformis Polysaccharide,
                            Acrylates/​C10-30 Alkyl Acrylate Crosspolymer,
                            Triethanolamine,
                            Methylparaben,
                            
        [more]Phenoxyethanol,
                            Ethylhexylglycerin,
                            Imidazolidinyl Urea,
                            Parfum,
                            PEG-40 Hydrogenated Castor Oil,
                            Ci 16255,
                            Ci 19140[less]

",https://incidecoder-content.storage.googleapis.com/9abdbd4d-fe79-49c3-a191-d91f4e33ab08/products/laikou-california-vitamin-c-serum/laikou-california-vitamin-c-serum_front_photo_original.jpeg,Success
https://incidecoder.com/products/laikou-california-vitamin-c-serum-2,Laikou,California Vitamin C Serum,07/30/2021,"
    
    Stimulates the production of collagen which makes the skin more vibrant, firm and youthful, diminishes the appearance of fine lines and wrinkles, deeply moisturizes the skin.
    ","

Aqua,
                            Butylene Glycol,
                            Sodium Ascorbyl Phosphate,
                            Sodium Hyaluronate,
                            Tremella Fuciformis Polysaccharide,
                            Carbomer,
                            Triethanolamine,
                            Methylparaben,
                            Phenoxyethanol,
                            
        [more]Ethylhexylglycerin,
                            Imidazolidinyl Urea,
                            Parfum,
                            PEG-40 Hydrogenated Castor Oil,
                            Ci 16255,
                            Ci 19140[less]

",https://incidecoder-content.storage.googleapis.com/077bae20-748b-4b9c-9f9f-9682c57de4b2/products/laikou-california-vitamin-c-serum-2/laikou-california-vitamin-c-serum-2_front_photo_original.jpeg,Success
