Link incidecoder,brand,short_product_name,date_upload,incide_enDescription,incide_ingredients,incide_imageKey,process,productName,productName_clean,incide_productName,isTrue_productName
https://incidecoder.com/products/the-body-shop-tea-tree-skin-clearing-facial-wash,The Body Shop,Tea Tree Skin Clearing Facial Wash,02/05/2023,Facial wash with purifying tea tree oil from the foothills of Mount Kenya.,"Aqua/​Water/​Eau, Glycerin, Sodium Laureth Sulfate, Cocamidopropyl Betaine, PEG-120 Methyl Glucose Dioleate, PEG-40 Hydrogenated Castor Oil, PEG-7 Glyceryl Cocoate, Polysorbate 20, Alcohol Denat, Sodium Chloride, Phenoxyethanol, Panthenol, Melaleuca Alternifolia Leaf Oil/​Melaleuca Alternifolia (Tea Tree) Leaf Oil, Sodium Benzoate, Calophyllum Inophyllum Seed Oil, Citric Acid, Allantoin, Menthol, Butyl Methoxydibenzoylmethane, Limonene, Sodium Hydroxide, Leptospermum Petersonii Oil, Tocopherol, Ci 19140/​Yellow 5, Caramel, Cl 42090 Blue 1",https://incidecoder-content.storage.googleapis.com/d6f33498-1ba6-4fe9-8674-90cb4da21f49/products/the-body-shop-tea-tree-skin-clearing-facial-wash-4/the-body-shop-tea-tree-skin-clearing-facial-wash-4_front_photo_original.jpeg,Success,The Body Shop Tea Tree Skin Clearing Facial Wash,The Body Shop Tea Tree Skin Clearing Facial Wash,The Body Shop Tea Tree Skin Clearing Facial Wash,True
,,,,,,,None link found,The Body Shop  Edelweiss Cleanser,The Body Shop  Edelweiss Cleanser,,True
https://incidecoder.com/products/the-body-shop-vitamin-c-daily-glow-cleansing-polish,The Body Shop,Vitamin C Daily Glow Cleansing Polish,05/22/2023,"The lightweight gel texture is infused with Jojoba microbeads and perlite – made from volcanic glass – to gently buff away dead skin cells, revealing noticeably smoother and softer skin.","Aqua/​Water/​Eau, Coco-Glucoside, Glycerin, Cocamidopropyl Betaine, Perlite, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Phenoxyethanol, Xanthan Gum, Caprylyl Glycol, Sodium Chloride, Jojoba Esters, Parfum/​Fragrance, Sodium Citrate, Sodium Gluconate, Limonene, Sodium Hydroxide, 3-O-Ethyl Ascorbic Acid, Trisodium Ethylenediamine Disuccinate, Benzyl Salicylate, Myrciaria Dubia Fruit Extract, Linalool, Benzyl Alcohol, Aloe Barbadensis Leaf Juice Powder, Citric Acid, Talc, Ci 73360/​Red 30, Ci 77492/​Iron Oxides",https://incidecoder-content.storage.googleapis.com/1226c22f-06d7-4d38-9617-c7b2e5144fa4/products/the-body-shop-vitamin-c-daily-glow-cleansing-polish-2/the-body-shop-vitamin-c-daily-glow-cleansing-polish-2_front_photo_original.jpeg,Success,The Body Shop Vitamin C Glow Cleansing Polish,The Body Shop Vitamin C Glow Cleansing Polish,The Body Shop Vitamin C Daily Glow Cleansing Polish,True
,,,,,,,None link found,The Body Shop Moringa Cleansing Face & Body Bar,The Body Shop Moringa Cleansing Face & Body Bar,,True
https://incidecoder.com/products/the-body-shop-aloe-soothing-cream-cleanser,The Body Shop,Aloe Soothing Cream Cleanser,05/06/2023,Gentle cleanser that leaves skin feeling soft and refreshed.,"Aqua/​Water/​Eau, Glycerin, Propanediol, Ethylhexyl Palmitate, Dicaprylyl Ether, Cetearyl Alcohol, Myristyl Myristate, Coco-Caprylate/​Caprate, Phenoxyethanol, Carbomer, Bis-Diglyceryl Polyacyladipate-2, Caprylyl Glycol, Sodium Stearoyl Glutamate, Cetearyl Glucoside, Xanthan Gum, Aloe Barbadensis Leaf Juice Powder, Trisodium Ethylenediamine Disuccinate, Sodium Hydroxide, Tocopherol",https://incidecoder-content.storage.googleapis.com/faee45d1-718b-4fc6-a88a-d21cb8eb7816/products/the-body-shop-aloe-soothing-cream-cleanser/the-body-shop-aloe-soothing-cream-cleanser_front_photo_original.jpeg,Success,The Body Shop Aloe Soothing Cream Cleanser,The Body Shop Aloe Soothing Cream Cleanser,The Body Shop Aloe Soothing Cream Cleanser,True
,,,,,,,None link found,The Body Shop Aloe Multi-Use Soothing Face & Body Gel,The Body Shop Aloe Multi-Use Soothing Face & Body Gel,,True
,,,,,,,None link found,The Body Shop Vitamin C Glow Revealing Tonic,The Body Shop Vitamin C Glow Revealing Tonic,,True
,,,,,,,None link found,The Body Shop Camomile Jelly One-Step Cleanser ,The Body Shop Camomile Jelly One-Step Cleanser,,False
,,,,,,,None link found,The Body Shop Tea Tree Skin Clearing Foaming Mousse,The Body Shop Tea Tree Skin Clearing Foaming Mousse,,True
https://incidecoder.com/products/the-body-shop-tea-tree-skin-clearing-facial-wash,The Body Shop,Tea Tree Skin Clearing Facial Wash,02/05/2023,Facial wash with purifying tea tree oil from the foothills of Mount Kenya.,"Aqua/​Water/​Eau, Glycerin, Sodium Laureth Sulfate, Cocamidopropyl Betaine, PEG-120 Methyl Glucose Dioleate, PEG-40 Hydrogenated Castor Oil, PEG-7 Glyceryl Cocoate, Polysorbate 20, Alcohol Denat, Sodium Chloride, Phenoxyethanol, Panthenol, Melaleuca Alternifolia Leaf Oil/​Melaleuca Alternifolia (Tea Tree) Leaf Oil, Sodium Benzoate, Calophyllum Inophyllum Seed Oil, Citric Acid, Allantoin, Menthol, Butyl Methoxydibenzoylmethane, Limonene, Sodium Hydroxide, Leptospermum Petersonii Oil, Tocopherol, Ci 19140/​Yellow 5, Caramel, Cl 42090 Blue 1",https://incidecoder-content.storage.googleapis.com/d6f33498-1ba6-4fe9-8674-90cb4da21f49/products/the-body-shop-tea-tree-skin-clearing-facial-wash-4/the-body-shop-tea-tree-skin-clearing-facial-wash-4_front_photo_original.jpeg,Success,The Body Shop Tea Tree Skin Clearing Facial Wash,The Body Shop Tea Tree Skin Clearing Facial Wash,The Body Shop Tea Tree Skin Clearing Facial Wash,True
https://incidecoder.com/products/the-body-shop-himalayan-charcoal-purifying-clay-wash,The Body Shop,Himalayan Charcoal Purifying Clay Wash,02/15/2021,"Purify your skin with our 100% vegetarian, invigoratingly scented himalayan charcoal purifying clay wash. Formulated with bamboo charcoal from the himalayan foothills, kaolin clay and community fair trade tea tree oil from kenya, it cleanses away dirt and impurities and helps unclog pores. This foaming face wash has a silky-soft clay texture that is gentle enough for all skin types. It leaves skin feeling refreshed, soft and looking mattified without drying it out . Gentle daily face wash
cleanses and purifies skin and helps unclog pores
removes excess oil and mattifies
lathers up instantly
enriched with bamboo charcoal from the himalayas and kaolin clay
enriched with community fair trade tea tree oil from kenya
dermatologically tested ","Aqua/​Water/​Eau, Glycerin, Cocamidopropyl Betaine, Propanediol, Kaolin, Argilla/​Magnesium Aluminium Silicate, Decyl Glucoside, Xanthan Gum, Sodium Cocoyl Glycinate, Sodium Chloride, Hydroxyacetophenone, Phenoxyethanol, Caprylyl Glycol, Parfum/​Fragrance, Charcoal Powder, Limonene, Linalool, Citric Acid, Trisodium Ethylenediamine Disuccinate, Aloe Barbadensis Leaf Juice Powder, Eucalyptus Globulus Leaf Oil, Melaleuca Alternifolia Leaf Oil/​Tea Tree Leaf Oil, Menthoxypropanediol, Sodium Hydroxide, Tetrasodium Pyrophosphate, Benzyl Alcohol, Ci 77499/​Iron Oxides",https://incidecoder-content.storage.googleapis.com/79441372-443d-474f-92f1-ca7c9866a2a6/products/the-body-shop-himalayan-charcoal-purifying-clay-wash/the-body-shop-himalayan-charcoal-purifying-clay-wash_front_photo_original.jpeg,Success,The Body Shop Himalayan Charcoal Purifying Clay Wash,The Body Shop Himalayan Charcoal Purifying Clay Wash,The Body Shop Himalayan Charcoal Purifying Clay Wash,True
,,,,,,,None link found,The Body Shop New Tea Tree Wash Scrub Mask 3in1,The Body Shop New Tea Tree Wash Scrub Mask 3in1,,True
https://incidecoder.com/products/the-body-shop-vitamin-e-gentle-face-wash,The Body Shop,Vitamin E Gentle Face Wash,09/28/2022,"Helps clean your face, without drying it out, revealing skin that instead feels soft and refreshed.","Aqua/​Water, Glycine Soja Oil/​Glycine Soja (Soybean) Oil, Coco-Glucoside, Hydroxypropyl Starch Phosphate, Coco-Betaine, Sodium Methyl Cocoyl Taurate, Sodium Chloride, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Phenoxyethanol, Tocopheryl Acetate, Sodium Benzoate, Sodium Gluconate, Parfum/​Fragrance, Rubus Idaeus Seed Oil/​Rubus Idaeus (Raspberry) Seed Oil, Benzyl Benzoate, Benzyl Alcohol, Sodium Hydroxide, Geraniol, Linalool, Tocopherol, Limonene, Hydroxycitronellal, Alpha-Isomethyl Ionone, Cinnamyl Alcohol, Citric Acid, Ci 14700/​Red 4, Ci 19140/​Yellow 5",https://incidecoder-content.storage.googleapis.com/828d2925-9130-4338-9b3a-e37f0a2a03e0/products/the-body-shop-vitamin-e-gentle-face-wash/the-body-shop-vitamin-e-gentle-face-wash_front_photo_original.jpeg,Success,The Body Shop  Vitamin E Gentle Face Wash,The Body Shop  Vitamin E Gentle Face Wash,The Body Shop Vitamin E Gentle Face Wash,True
https://incidecoder.com/products/the-body-shop-seaweed-deep-cleansing-gel-wash,The Body Shop,Seaweed Deep Cleansing Gel Wash,09/27/2019,"Our Seaweed Deep Cleansing Gel Wash will cleanse your skin while rebalancing moisture levels. Oil-free and soap-free, this face wash will effectively remove impurities, leaving a shine-free matte finish.","Aqua, Sodium Laureth Sulfate, Polysorbate 20, PEG-150 Distearate, Sodium Cocoamphoacetate, Cocamidopropyl Betaine, Phenoxyethanol, Citric Acid, Sodium Benzoate, Parfum/​Fragrance, Sodium Chloride, Butylene Glycol, Menthol, Trisodium Ethylenediamine Disuccinate, Aloe Barbadensis Leaf Juice Powder, Fucus Vesiculosus Extract, Linalool, Benzyl Salicylate, Benzyl Alcohol, Propylene Glycol, Sodium Hydroxide, Chondrus Crispus Extract",https://incidecoder-content.storage.googleapis.com/15256c53-23c1-42fe-af76-00cdf697f2b3/products/the-body-shop-seaweed-deep-cleansing-gel-wash/the-body-shop-seaweed-deep-cleansing-gel-wash_front_photo_original.jpeg,Success,The Body Shop Seaweed Deep Cleansing Gel Wash,The Body Shop Seaweed Deep Cleansing Gel Wash,The Body Shop Seaweed Deep Cleansing Gel Wash,True
https://incidecoder.com/products/the-body-shop-tea-tree-skin-clearing-foaming-cleanser,The Body Shop,Tea Tree Skin Clearing Foaming Cleanser,06/05/2019,"Our Tea Tree Skin Clearing Foaming Cleanser is an instantly foaming daily facial wash, formulated to be gentle on blemished skin. Enriched with Community Trade Tea Tree Oil, it cleanses without over drying, leaving oily skin feeling fresh and matte.","Aqua, Cocamidopropyl Betaine, Polysorbate 20, Coco-Glucoside, PEG-40 Hydrogenated Castor Oil, Salix Alba Bark Extract, Sodium Chloride, Melaleuca Alternifolia Leaf Oil, Glycerin, Calophyllum Inophyllum Seed Oil, Myristamidopropyl Pg-Dimonium Chloride Phosphate, PVP, P-Anisic Acid, Sodium Hydroxide, Menthol, Leptospermum Petersonii Oil, Citral, Limonene, Tocopherol, Citric Acid",https://incidecoder-content.storage.googleapis.com/c73e7109-9254-4eb4-a143-ac0d9a56228e/products/the-body-shop-tea-tree-skin-clearing-foaming-cleanser/the-body-shop-tea-tree-skin-clearing-foaming-cleanser_front_photo_original.jpeg,Success,The Body Shop  Tea Tree Skin Clearing Foaming Cleanser,The Body Shop  Tea Tree Skin Clearing Foaming Cleanser,The Body Shop Tea Tree Skin Clearing Foaming Cleanser,True
https://incidecoder.com/products/the-body-shop-seaweed-moisturiser,The Body Shop,Seaweed Oil-Control Gel Cream,04/01/2021,A gel cream for combination/oily skin.,"Aqua/​Water/​Eau, Isododecane, Glycerin, Tapioca Starch, Hydrogenated Tetradecenyl/​Methylpentadecene, Polymethyl Methacrylate, Dimethicone, Phenoxyethanol, Polysorbate 60, Caprylyl Glycol, Carbomer, Tocopheryl Acetate, Glyceryl Stearate, PEG-100 Stearate, Cetearyl Alcohol, Propylene Glycol, Butylene Glycol, Sesamum Indicum Seed Oil/​Sesamum Indicum (Sesame) Seed Oil, Glycine Soja Oil/​Glycine Soja (Soybean) Oil, Fucus Vesiculosus Extract, Sodium Hydroxide, Parfum/​Fragrance, Disodium EDTA, Pentylene Glycol, Polymethylsilsesquioxane, Zinc Gluconate, Acacia Senegal Gum, Linalool, Algae Extract, Hydrolyzed Wheat Protein, Xanthan Gum, Propylene Glycol Alginate, Benzyl Salicylate, Hydrolyzed Algin, Serine, Sodium Stearate, Zinc Sulfate, Citric Acid",https://incidecoder-content.storage.googleapis.com/68dbc5d4-c8b4-4a16-a624-0562f55bc8f7/products/the-body-shop-seaweed-oil-control-gel-cream/the-body-shop-seaweed-oil-control-gel-cream_front_photo_original.jpeg,Success,The Body Shop Seaweed Oil-Control Gel Cream,The Body Shop Seaweed Oil-Control Gel Cream,The Body Shop Seaweed Oil-Control Gel Cream,True
https://incidecoder.com/products/the-body-shop-vitamin-e-nourishing-night-cream,The Body Shop,Vitamin E Nourishing Night Cream,11/29/2019,The Body Shop Vitamin E Nourishing Night Cream 50ml combines the antioxidant power of vitamin E and the moisturising properties of wheatgerm oil for a nourishing treatment that works while you sleep to deeply nourish and protect the skin. Easily absorbed. For all skin types.,"Water, Glycerin, Triticum Vulgare Germ Oil/​Triticum Vulgare (Wheat) Germ Oil, Dimethicone, PPG-2 Myristyl Ether Propionate, Stearyl Alcohol, Isododecane, Cetearyl Alcohol, Theobroma Cacao Seed Butter/​Theobroma Cacao (Cocoa) Seed Butter, Myristyl Myristate, Glyceryl Stearate, PEG-100 Stearate, Cetearyl Ethylhexanoate, Panthenol, Hydrogenated Tetradecenyl/​Methylpentadecene, Phenoxyethanol, Caprylyl Glycol, Tocopheryl Acetate, Carbomer, Fragrance, Benzyl Benzoate, Sodium Hydroxide, Sodium Hyaluronate, Disodium EDTA, Hydroxycitronellal, Geraniol, Linalool, Limonene, Alpha-Isomethyl Ionone, Ci 14700/​Red 4, Ci 19140/​Yellow 5",https://incidecoder-content.storage.googleapis.com/0f05bdb7-0fd1-45d9-99a2-ed3ba52e26e4/products/the-body-shop-vitamin-e-nourishing-night-cream/the-body-shop-vitamin-e-nourishing-night-cream_front_photo_original.jpeg,Success,The Body Shop  Vitamin E Nourishing Night Cream ,The Body Shop  Vitamin E Nourishing Night Cream,The Body Shop Vitamin E Nourishing Night Cream,False
,,,,,,,None link found,The Body Shop Vitamin E Moisture Day Cream ,The Body Shop Vitamin E Moisture Day Cream,,False
